id,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Happier,Marshmello,brostep,2018,100,79,69,-3,17,67,214,19,5,86
2,when the party's over,Billie Eilish,electropop,2019,83,11,37,-14,9,20,196,98,10,86
3,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,85
4,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,83
5,Sweater Weather,The Neighbourhood,modern alternative rock,2013,124,81,61,-3,10,40,240,5,3,82
6,Young Dumb & Broke,Khalid,alternative r&b,2017,137,54,80,-6,17,39,203,20,4,82
7,Call Out My Name,The Weeknd,canadian contemporary r&b,2018,134,59,46,-5,31,18,228,17,4,82
8,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,82
9,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,81
10,Eastside (with Halsey & Khalid),benny blanco,electropop,2018,89,68,56,-8,12,32,174,56,32,81
11,bury a friend,Billie Eilish,electropop,2019,120,39,91,-15,11,20,193,74,33,81
12,Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,11,7,80
13,Paradise,Coldplay,permanent wave,2011,140,59,45,-7,8,20,279,5,3,79
14,Riptide,Vance Joy,folk-pop,2014,102,73,48,-7,15,51,204,43,4,79
15,Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,108,77,71,-6,11,58,214,11,4,79
16,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,78
17,Drag Me Down,One Direction,boy band,2015,138,70,73,-6,7,60,192,11,4,78
18,One Last Time,Ariana Grande,dance pop,2014,125,59,63,-5,10,10,197,9,3,78
19,Bang Bang,Jessie J,dance pop,2014,150,79,71,-3,38,75,199,26,9,78
20,My Type,Saweetie,cali rap,2019,105,81,90,-6,7,59,126,0,26,78
21,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2015,108,53,63,-7,18,42,225,40,4,77
22,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,169,79,50,-4,65,74,243,26,32,77
23,Hymn for the Weekend,Coldplay,permanent wave,2015,90,74,49,-5,30,36,259,26,4,77
24,Side To Side,Ariana Grande,dance pop,2016,159,74,65,-6,24,61,226,5,23,77
25,Me And My Broken Heart,Rixton,dance pop,2014,174,78,55,-4,13,55,194,0,3,76
26,Unsteady,X Ambassadors,modern alternative rock,2015,117,67,39,-6,12,20,194,18,6,76
27,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,2017,101,75,89,-3,9,87,223,6,6,76
28,Love Galore (feat. Travis Scott),SZA,pop,2017,135,59,80,-6,16,41,275,11,7,76
29,breathin,Ariana Grande,dance pop,2018,100,66,57,-5,21,36,198,2,4,76
