id,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,goosebumps,Travis Scott,rap,2016,130,73,84,-3,15,43,244,8,5,90
2,Robbery,Juice WRLD,chicago rap,2019,160,69,69,-5,15,58,240,33,5,87
3,Believer,Imagine Dragons,modern rock,2017,125,78,78,-4,8,67,204,6,13,87
4,Happier,Marshmello,brostep,2018,100,79,69,-3,17,67,214,19,5,86
5,when the party's over,Billie Eilish,electropop,2019,83,11,37,-14,9,20,196,98,10,86
6,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,85
7,Moonlight,XXXTENTACION,emo rap,2018,128,54,92,-6,10,71,135,56,8,85
8,changes,XXXTENTACION,emo rap,2018,65,31,67,-10,10,52,122,88,3,84
9,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,83
10,Con Calma,Daddy Yankee,latin,2019,94,86,74,-3,6,66,193,11,6,83
11,Sweater Weather,The Neighbourhood,modern alternative rock,2013,124,81,61,-3,10,40,240,5,3,82
12,Young Dumb & Broke,Khalid,alternative r&b,2017,137,54,80,-6,17,39,203,20,4,82
13,Call Out My Name,The Weeknd,canadian contemporary r&b,2018,134,59,46,-5,31,18,228,17,4,82
14,Murder On My Mind,YNW Melly,melodic rap,2018,115,73,76,-8,11,74,268,14,5,82
15,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,82
16,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,82
17,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,81
18,Eastside (with Halsey & Khalid),benny blanco,pop,2018,89,68,56,-8,12,32,174,56,32,81
19,bury a friend,Billie Eilish,electropop,2019,120,39,91,-15,11,20,193,74,33,81
20,boyfriend (with Social House),Ariana Grande,dance pop,2019,190,80,40,-4,16,70,186,12,46,81
21,IDGAF,Dua Lipa,dance pop,2017,97,54,84,-6,8,51,218,4,9,81
22,Sign of the Times,Harry Styles,pop,2017,120,60,52,-5,11,22,341,3,3,81
23,Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,81
24,Look At Me!,XXXTENTACION,emo rap,2017,139,73,76,-6,10,35,126,26,28,81
25,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,6,28,230,37,8,81
26,Passionfruit,Drake,canadian hip hop,2017,112,46,81,-11,11,36,299,26,4,80
27,Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,11,7,80
28,One Thing Right,Marshmello,brostep,2019,88,62,66,-2,58,44,182,7,5,80
29,Paradise,Coldplay,permanent wave,2011,140,59,45,-7,8,20,279,5,3,79
30,Riptide,Vance Joy,folk-pop,2014,102,73,48,-7,15,51,204,43,4,79
31,Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,108,77,71,-6,11,58,214,11,4,79
32,1-800-273-8255,Logic,conscious hip hop,2017,100,57,62,-8,19,36,250,57,5,79
33,A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,79
34,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,78
35,Drag Me Down,One Direction,boy band,2015,138,70,73,-6,7,60,192,11,4,78
36,One Last Time,Ariana Grande,dance pop,2014,125,59,63,-5,10,10,197,9,3,78
37,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2015,108,53,63,-7,18,42,225,40,4,78
38,Bang Bang,Jessie J,dance pop,2014,150,79,71,-3,38,75,199,26,9,78
39,White Iverson,Post Malone,dfw rap,2016,130,56,68,-8,8,31,257,23,4,78
40,Hurricane,Luke Combs,contemporary country,2017,76,81,46,-6,25,52,223,2,4,78
41,My Type,Saweetie,cali rap,2019,105,81,90,-6,7,59,126,0,26,78
42,do re mi,blackbear,pop,2017,111,59,75,-6,12,17,212,1,5,78
43,Little Talks,Of Monsters and Men,folk-pop,2012,103,76,46,-5,15,42,267,2,3,77
44,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,169,79,50,-4,65,74,243,26,32,77
45,Hymn for the Weekend,Coldplay,permanent wave,2015,90,74,49,-5,30,36,259,26,4,77
46,Antidote,Travis Scott,rap,2015,131,53,71,-5,12,13,263,1,3,77
47,Side To Side,Ariana Grande,dance pop,2016,159,74,65,-6,24,61,226,5,23,77
48,Baby Shark,Pinkfong,cartoon,2017,115,89,83,-2,6,78,81,26,11,77
49,Starving,Hailee Steinfeld,dance pop,2016,100,62,73,-4,11,51,182,38,6,77
50,Night Changes,One Direction,boy band,2014,120,52,67,-8,12,37,227,86,4,77
51,Best Song Ever,One Direction,boy band,2013,118,88,65,-3,8,49,200,2,5,76
52,Me And My Broken Heart,Rixton,dance pop,2014,174,78,55,-4,13,55,194,0,3,76
53,Unsteady,X Ambassadors,modern alternative rock,2015,117,67,39,-6,12,20,194,18,6,76
54,What Ifs (feat. Lauren Alaina),Kane Brown,contemporary country,2016,126,80,61,-5,17,69,188,1,3,76
55,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,2017,101,75,89,-3,9,87,223,6,6,76
56,Magnolia,Playboi Carti,atl hip hop,2017,163,58,79,-7,35,44,182,1,29,76
57,Love Galore (feat. Travis Scott),SZA,pop,2017,135,59,80,-6,16,41,275,11,7,76
58,Plain Jane,A$AP Ferg,hip hop,2017,170,84,80,-5,9,52,174,7,28,76
59,breathin,Ariana Grande,dance pop,2018,100,66,57,-5,21,36,198,2,4,76
60,Love Lies (with Normani),Khalid,alternative r&b,2018,144,65,71,-6,13,34,202,10,4,76
61,Cash Shit (feat. DaBaby),Megan Thee Stallion,houston rap,2019,130,64,92,-5,9,55,193,2,42,76
62,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,houston rap,2019,99,81,87,-5,21,57,199,0,16,76
63,X,Nicky Jam,latin,2019,180,75,59,-5,30,69,173,3,6,76
64,Malibu,Miley Cyrus,dance pop,2017,140,78,57,-6,8,34,232,8,6,76
65,How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,-4,39,34,213,4,7,76
66,Let Her Go,Passenger,folk-pop,2013,75,55,48,-7,10,24,253,37,7,76
67,Party In The U.S.A.,Miley Cyrus,dance pop,2009,96,70,65,-5,9,47,202,0,4,75
68,Secrets,OneRepublic,dance pop,2009,148,76,52,-6,12,38,225,7,4,75
69,The A Team,Ed Sheeran,pop,2011,85,29,64,-10,18,41,258,67,4,75
70,Shower,Becky G,latin,2014,120,53,70,-8,28,12,206,3,5,75
71,Lost Boy,Ruth B.,canadian pop,2015,124,6,71,-15,9,35,275,97,5,75
72,Middle,DJ Snake,dance pop,2016,105,70,58,-5,5,22,221,1,4,75
73,Too Good At Goodbyes,Sam Smith,pop,2017,92,37,68,-8,17,48,201,64,4,75
74,Sky Walker (feat. Travis Scott),Miguel,dance pop,2017,146,51,67,-11,9,18,259,17,4,75
75,Act Up,City Girls,pop,2018,97,64,94,-5,11,31,158,2,19,75
76,Close Friends (Lil Baby & Gunna),Lil Baby,atl hip hop,2018,159,58,68,-5,8,70,204,5,38,75
