Title,bpm,energy,danceability,dB,liveness
Tie Me Down (feat. Ray J),97.967,0.787,0.42,-4.467,0.198
Your Love,189.629,0.52,0.424,-10.231,0.411
Party In The U.S.A.,96.021,0.698,0.652,-4.667,0.0886
Deuces,73.987,0.736,0.692,-5.109,0.0787
3,134.91,0.709,0.697,-1.917,0.138
Impossible - Main,90.034,0.624,0.599,-3.631,0.125
Forever,158.423,0.926,0.415,-1.304,0.256
Two Is Better Than One (feat. Taylor Swift),127.976,0.702,0.521,-5.189,0.0962
My First Kiss (feat. Ke$ha),138.021,0.889,0.682,-4.166,0.36
Already Gone,78.139,0.872,0.209,-2.996,0.0768
Rock That Body,124.992,0.907,0.715,-6.025,0.426
Secrets,148.021,0.764,0.516,-6.223,0.115
Naturally,132.612,0.902,0.605,-5.406,0.0534
Un-thinkable (I'm Ready),86.099,0.507,0.595,-7.892,0.106
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",150.1,0.781,0.544,-3.616,0.161
I Made It (Cash Money Heroes),124.42,0.944,0.592,-2.94,0.365
DJ Got Us Fallin' In Love (feat. Pitbull),119.963,0.861,0.663,-3.398,0.082
For the First Time,173.794,0.629,0.396,-4.78,0.183
Honey Bee,205.57,0.849,0.481,-5.131,0.121
Don't You Wanna Stay (with Kelly Clarkson),143.846,0.631,0.445,-4.798,0.0911
We Found Love,127.986,0.766,0.734,-4.485,0.108
Pretty Girl Rock,160.014,0.87,0.666,-5.004,0.0851
You And I,127.083,0.709,0.518,-5.234,0.0935
Like A G6,124.913,0.837,0.435,-8.126,0.117
Without You (feat. Usher),127.885,0.614,0.608,-3.727,0.157
Back To December,141.893,0.67,0.529,-4.663,0.334
Teenage Dream,120.011,0.798,0.719,-4.582,0.134
Crazy Girl,151.343,0.651,0.366,-3.842,0.271
Cheers (Drink To That),79.981,0.912,0.576,-3.623,0.293
Who Says,101.019,0.927,0.682,-2.915,0.149
Barefoot Blue Jean Night,172.016,0.808,0.6,-4.679,0.196
