title,artist,top genre,bpm,nrgy,dnce,dB,live,val,acous,spch
Tie Me Down (feat. Ray J),New Boyz,dance pop,97.967,0.787,0.42,-4.467,0.198,0.38,0.0104,0.294
Your Love,Nicki Minaj,dance pop,189.629,0.52,0.424,-10.231,0.411,0.184,0.00204,0.343
Party In The U.S.A.,Miley Cyrus,dance pop,96.021,0.698,0.652,-4.667,0.0886,0.47,0.00112,0.042
Deuces,Chris Brown,dance pop,73.987,0.736,0.692,-5.109,0.0787,0.217,0.0324,0.11
3,Britney Spears,dance pop,134.91,0.709,0.697,-1.917,0.138,0.787,0.0452,0.0455
Impossible - Main,Shontelle,barbadian pop,90.034,0.624,0.599,-3.631,0.125,0.539,0.385,0.0343
Forever,Various Artists,,158.423,0.926,0.415,-1.304,0.256,0.542,0.253,0.374
Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,neo mellow,127.976,0.702,0.521,-5.189,0.0962,0.25,0.189,0.0331
My First Kiss (feat. Ke$ha),3OH!3,dance pop,138.021,0.889,0.682,-4.166,0.36,0.827,0.00564,0.0804
Already Gone,Kelly Clarkson,dance pop,78.139,0.872,0.209,-2.996,0.0768,0.294,0.217,0.0757
Rock That Body,Black Eyed Peas,dance pop,124.992,0.907,0.715,-6.025,0.426,0.841,0.0172,0.0993
Secrets,OneRepublic,dance pop,148.021,0.764,0.516,-6.223,0.115,0.376,0.0717,0.0366
Naturally,Selena Gomez & The Scene,dance pop,132.612,0.902,0.605,-5.406,0.0534,0.875,0.0185,0.0511
Un-thinkable (I'm Ready),Alicia Keys,hip pop,86.099,0.507,0.595,-7.892,0.106,0.337,0.732,0.0618
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,150.1,0.781,0.544,-3.616,0.161,0.277,0.014,0.189
I Made It (Cash Money Heroes),Kevin Rudolf,dance pop,124.42,0.944,0.592,-2.94,0.365,0.574,0.043,0.111
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,119.963,0.861,0.663,-3.398,0.082,0.654,0.0338,0.109
For the First Time,The Script,celtic rock,173.794,0.629,0.396,-4.78,0.183,0.358,0.0328,0.0287
Honey Bee,Blake Shelton,contemporary country,205.57,0.849,0.481,-5.131,0.121,0.723,0.00167,0.0385
Don't You Wanna Stay (with Kelly Clarkson),Jason Aldean,contemporary country,143.846,0.631,0.445,-4.798,0.0911,0.152,0.129,0.0304
We Found Love,Rihanna,barbadian pop,127.986,0.766,0.734,-4.485,0.108,0.6,0.025,0.0383
Pretty Girl Rock,Keri Hilson,dance pop,160.014,0.87,0.666,-5.004,0.0851,0.9,0.203,0.246
You And I,Lady Gaga,dance pop,127.083,0.709,0.518,-5.234,0.0935,0.514,0.075,0.0476
Like A G6,Far East Movement,asian american hip hop,124.913,0.837,0.435,-8.126,0.117,0.778,0.00676,0.449
Without You (feat. Usher),David Guetta,dance pop,127.885,0.614,0.608,-3.727,0.157,0.402,0.227,0.0285
Back To December,Taylor Swift,dance pop,141.893,0.67,0.529,-4.663,0.334,0.286,0.117,0.0303
Teenage Dream,Katy Perry,dance pop,120.011,0.798,0.719,-4.582,0.134,0.591,0.0162,0.0361
Crazy Girl,Eli Young Band,contemporary country,151.343,0.651,0.366,-3.842,0.271,0.257,0.000415,0.031
Cheers (Drink To That),Rihanna,barbadian pop,79.981,0.912,0.576,-3.623,0.293,0.727,0.0182,0.0403
Who Says,Selena Gomez & The Scene,dance pop,101.019,0.927,0.682,-2.915,0.149,0.744,0.0843,0.0479
Barefoot Blue Jean Night,Jake Owen,contemporary country,172.016,0.808,0.6,-4.679,0.196,0.809,0.208,0.0403
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,contemporary country,90.99,0.584,0.715,-8.231,0.095,0.609,0.432,0.0296
Let's Go (feat. Ne-Yo),Calvin Harris,dance pop,128.016,0.882,0.71,-2.932,0.294,0.875,0.00777,0.0595
Good Girl,Carrie Underwood,contemporary country,128.91,0.839,0.617,-2.849,0.19,0.741,0.0286,0.0655
Pontoon,Little Big Town,contemporary country,96.02,0.819,0.721,-5.715,0.196,0.867,0.413,0.0269
Ho Hey,The Lumineers,folk-pop,79.936,0.466,0.685,-9.074,0.0915,0.353,0.794,0.0304
Paradise,Coldplay,permanent wave,139.627,0.585,0.449,-6.762,0.0833,0.203,0.0522,0.0268
Blown Away,Carrie Underwood,contemporary country,136.991,0.843,0.531,-2.569,0.0283,0.392,0.0909,0.0429
Rolling in the Deep,Adele,british soul,104.945,0.756,0.729,-5.119,0.0527,0.522,0.131,0.0294
Climax,Usher,atl hip hop,135.877,0.478,0.647,-8.837,0.156,0.333,0.547,0.0782
"Work Hard, Play Hard",Wiz Khalifa,hip hop,140.008,0.666,0.787,-4.475,0.296,0.485,0.0409,0.0485
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,124.91,0.677,0.658,-6.628,0.368,0.248,0.248,0.0393
Pound The Alarm,Nicki Minaj,dance pop,125.054,0.858,0.728,-3.686,0.0241,0.591,0.0403,0.0609
Come Over,Kenny Chesney,contemporary country,176.043,0.704,0.466,-7.169,0.0744,0.481,0.1,0.0353
Heart Attack,Trey Songz,dance pop,150.029,0.863,0.608,-4.87,0.228,0.476,0.0593,0.131
